Code,Level,Parent,Description
A,1,,"Agriculture, forestry and fishing"
01,2,A,"Crop and animal production, hunting and related service activities"
011,3,01,Growing of non-perennial crops
0111,4,011,"Growing of cereals (except rice), leguminous crops and oil seeds"
0112,4,011,Growing of rice
0113,4,011,"Growing of vegetables and melons, roots and tubers"
0114,4,011,Growing of sugar cane
0115,4,011,Growing of tobacco
0116,4,011,Growing of fibre crops
0119,4,011,Growing of other non-perennial crops
012,3,01,Growing of perennial crops
0121,4,012,Growing of grapes
0122,4,012,Growing of tropical and subtropical fruits
0123,4,012,Growing of citrus fruits
0124,4,012,Growing of pome fruits and stone fruits
0125,4,012,Growing of other tree and bush fruits and nuts
0126,4,012,Growing of oleaginous fruits
0127,4,012,Growing of beverage crops
0128,4,012,"Growing of spices, aromatic, drug and pharmaceutical crops"
0129,4,012,Growing of other perennial crops
013,3,01,Plant propagation
0130,4,013,Plant propagation
014,3,01,Animal production
0141,4,014,Raising of cattle and buffaloes
0142,4,014,Raising of horses and other equines
0143,4,014,Raising of camels and camelids
0144,4,014,Raising of sheep and goats
0145,4,014,Raising of swine/pigs
0146,4,014,Raising of poultry
0149,4,014,Raising of other animals
015,3,01,Mixed farming
0150,4,015,Mixed farming
016,3,01,Support activities to agriculture and post-harvest crop activities
0161,4,016,Support activities for crop production
0162,4,016,Support activities for animal production
0163,4,016,Post-harvest crop activities
0164,4,016,Seed processing for propagation
017,3,01,"Hunting, trapping and related service activities"
0170,4,017,"Hunting, trapping and related service activities"
02,2,A,Forestry and logging
021,3,02,Silviculture and other forestry activities
0210,4,021,Silviculture and other forestry activities
022,3,02,Logging
0220,4,022,Logging
023,3,02,Gathering of non-wood forest products
0230,4,023,Gathering of non-wood forest products
024,3,02,Support services to forestry
0240,4,024,Support services to forestry
03,2,A,Fishing and aquaculture
031,3,03,Fishing
0311,4,031,Marine fishing
0312,4,031,Freshwater fishing
032,3,03,Aquaculture
0321,4,032,Marine aquaculture
0322,4,032,Freshwater aquaculture
B,1,,Mining and quarrying
05,2,B,Mining of coal and lignite
051,3,05,Mining of hard coal
0510,4,051,Mining of hard coal
052,3,05,Mining of lignite
0520,4,052,Mining of lignite
06,2,B,Extraction of crude petroleum and natural gas
061,3,06,Extraction of crude petroleum
0610,4,061,Extraction of crude petroleum
062,3,06,Extraction of natural gas
0620,4,062,Extraction of natural gas
07,2,B,Mining of metal ores
071,3,07,Mining of iron ores
0710,4,071,Mining of iron ores
072,3,07,Mining of non-ferrous metal ores
0721,4,072,Mining of uranium and thorium ores
0729,4,072,Mining of other non-ferrous metal ores
08,2,B,Other mining and quarrying
081,3,08,"Quarrying of stone, sand and clay"
0810,4,081,"Quarrying of stone, sand and clay"
089,3,08,Mining and quarrying n.e.c.
0891,4,089,Mining of chemical and fertilizer minerals
0892,4,089,Extraction of peat
0893,4,089,Extraction of salt
0899,4,089,Other mining and quarrying n.e.c.
09,2,B,Mining support service activities
091,3,09,Support activities for petroleum and natural gas extraction
0910,4,091,Support activities for petroleum and natural gas extraction
099,3,09,Support activities for other mining and quarrying
0990,4,099,Support activities for other mining and quarrying
C,1,,Manufacturing
10,2,C,Manufacture of food products
101,3,10,Processing and preserving of meat
1010,4,101,Processing and preserving of meat
102,3,10,"Processing and preserving of fish, crustaceans and molluscs"
1020,4,102,"Processing and preserving of fish, crustaceans and molluscs"
103,3,10,Processing and preserving of fruit and vegetables
1030,4,103,Processing and preserving of fruit and vegetables
104,3,10,Manufacture of vegetable and animal oils and fats
1040,4,104,Manufacture of vegetable and animal oils and fats
105,3,10,Manufacture of dairy products
1050,4,105,Manufacture of dairy products
106,3,10,"Manufacture of grain mill products, starches and starch products"
1061,4,106,Manufacture of grain mill products
1062,4,106,Manufacture of starches and starch products
107,3,10,Manufacture of other food products
1071,4,107,Manufacture of bakery products
1072,4,107,Manufacture of sugar
1073,4,107,"Manufacture of cocoa, chocolate and sugar confectionery"
1074,4,107,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
1075,4,107,Manufacture of prepared meals and dishes
1079,4,107,Manufacture of other food products n.e.c.
108,3,10,Manufacture of prepared animal feeds
1080,4,108,Manufacture of prepared animal feeds
11,2,C,Manufacture of beverages
110,3,11,Manufacture of beverages
1101,4,110,"Distilling, rectifying and blending of spirits"
1102,4,110,Manufacture of wines
1103,4,110,Manufacture of malt liquors and malt
1104,4,110,Manufacture of soft drinks; production of mineral waters and other bottled waters
12,2,C,Manufacture of tobacco products
120,3,12,Manufacture of tobacco products
1200,4,120,Manufacture of tobacco products
13,2,C,Manufacture of textiles
131,3,13,"Spinning, weaving and finishing of textiles"
1311,4,131,Preparation and spinning of textile fibres
1312,4,131,Weaving of textiles
1313,4,131,Finishing of textiles
139,3,13,Manufacture of other textiles
1391,4,139,Manufacture of knitted and crocheted fabrics
1392,4,139,"Manufacture of made-up textile articles, except apparel"
1393,4,139,Manufacture of carpets and rugs
1394,4,139,"Manufacture of cordage, rope, twine and netting"
1399,4,139,Manufacture of other textiles n.e.c.
14,2,C,Manufacture of wearing apparel
141,3,14,"Manufacture of wearing apparel, except fur apparel"
1410,4,141,"Manufacture of wearing apparel, except fur apparel"
142,3,14,Manufacture of articles of fur
1420,4,142,Manufacture of articles of fur
143,3,14,Manufacture of knitted and crocheted apparel
1430,4,143,Manufacture of knitted and crocheted apparel
15,2,C,Manufacture of leather and related products
151,3,15,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
1511,4,151,Tanning and dressing of leather; dressing and dyeing of fur
1512,4,151,"Manufacture of luggage, handbags and the like, saddlery and harness"
152,3,15,Manufacture of footwear
1520,4,152,Manufacture of footwear
16,2,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
161,3,16,Sawmilling and planing of wood
1610,4,161,Sawmilling and planing of wood
162,3,16,"Manufacture of products of wood, cork, straw and plaiting materials"
1621,4,162,Manufacture of veneer sheets and wood-based panels
1622,4,162,Manufacture of builders' carpentry and joinery
1623,4,162,Manufacture of wooden containers
1629,4,162,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
17,2,C,Manufacture of paper and paper products
170,3,17,Manufacture of paper and paper products
1701,4,170,"Manufacture of pulp, paper and paperboard"
1702,4,170,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
1709,4,170,Manufacture of other articles of paper and paperboard
18,2,C,Printing and reproduction of recorded media
181,3,18,Printing and service activities related to printing
1811,4,181,Printing
1812,4,181,Service activities related to printing
182,3,18,Reproduction of recorded media
1820,4,182,Reproduction of recorded media
19,2,C,Manufacture of coke and refined petroleum products
191,3,19,Manufacture of coke oven products
1910,4,191,Manufacture of coke oven products
192,3,19,Manufacture of refined petroleum products
1920,4,192,Manufacture of refined petroleum products
20,2,C,Manufacture of chemicals and chemical products
201,3,20,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms"
2011,4,201,Manufacture of basic chemicals
2012,4,201,Manufacture of fertilizers and nitrogen compounds
2013,4,201,Manufacture of plastics and synthetic rubber in primary forms
202,3,20,Manufacture of other chemical products
2021,4,202,Manufacture of pesticides and other agrochemical products
2022,4,202,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
2023,4,202,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
2029,4,202,Manufacture of other chemical products n.e.c.
203,3,20,Manufacture of man-made fibres
2030,4,203,Manufacture of man-made fibres
21,2,C,Manufacture of basic pharmaceutical products and pharmaceutical preparations
210,3,21,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
2100,4,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
22,2,C,Manufacture of rubber and plastics products
221,3,22,Manufacture of rubber products
2211,4,221,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
2219,4,221,Manufacture of other rubber products
222,3,22,Manufacture of plastics products
2220,4,222,Manufacture of plastics products
23,2,C,Manufacture of other non-metallic mineral products
231,3,23,Manufacture of glass and glass products
2310,4,231,Manufacture of glass and glass products
239,3,23,Manufacture of non-metallic mineral products n.e.c.
2391,4,239,Manufacture of refractory products
2392,4,239,Manufacture of clay building materials
2393,4,239,Manufacture of other porcelain and ceramic products
2394,4,239,"Manufacture of cement, lime and plaster"
2395,4,239,"Manufacture of articles of concrete, cement and plaster"
2396,4,239,"Cutting, shaping and finishing of stone"
2399,4,239,Manufacture of other non-metallic mineral products n.e.c.
24,2,C,Manufacture of basic metals
241,3,24,Manufacture of basic iron and steel
2410,4,241,Manufacture of basic iron and steel
242,3,24,Manufacture of basic precious and other non-ferrous metals
2420,4,242,Manufacture of basic precious and other non-ferrous metals
243,3,24,Casting of metals
2431,4,243,Casting of iron and steel
2432,4,243,Casting of non-ferrous metals
25,2,C,"Manufacture of fabricated metal products, except machinery and equipment"
251,3,25,"Manufacture of structural metal products, tanks, reservoirs and steam generators"
2511,4,251,Manufacture of structural metal products
2512,4,251,"Manufacture of tanks, reservoirs and containers of metal"
2513,4,251,"Manufacture of steam generators, except central heating hot water boilers"
252,3,25,Manufacture of weapons and ammunition
2520,4,252,Manufacture of weapons and ammunition
259,3,25,Manufacture of other fabricated metal products; metalworking service activities
2591,4,259,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
2592,4,259,Treatment and coating of metals; machining
2593,4,259,"Manufacture of cutlery, hand tools and general hardware"
2599,4,259,Manufacture of other fabricated metal products n.e.c.
26,2,C,"Manufacture of computer, electronic and optical products"
261,3,26,Manufacture of electronic components and boards
2610,4,261,Manufacture of electronic components and boards
262,3,26,Manufacture of computers and peripheral equipment
2620,4,262,Manufacture of computers and peripheral equipment
263,3,26,Manufacture of communication equipment
2630,4,263,Manufacture of communication equipment
264,3,26,Manufacture of consumer electronics
2640,4,264,Manufacture of consumer electronics
265,3,26,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks"
2651,4,265,"Manufacture of measuring, testing, navigating and control equipment"
2652,4,265,Manufacture of watches and clocks
266,3,26,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
2660,4,266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
267,3,26,Manufacture of optical instruments and photographic equipment
2670,4,267,Manufacture of optical instruments and photographic equipment
268,3,26,Manufacture of magnetic and optical media
2680,4,268,Manufacture of magnetic and optical media
27,2,C,Manufacture of electrical equipment
271,3,27,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
2710,4,271,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
272,3,27,Manufacture of batteries and accumulators
2720,4,272,Manufacture of batteries and accumulators
273,3,27,Manufacture of wiring and wiring devices
2731,4,273,Manufacture of fibre optic cables
2732,4,273,Manufacture of other electronic and electric wires and cables
2733,4,273,Manufacture of wiring devices
274,3,27,Manufacture of electric lighting equipment
2740,4,274,Manufacture of electric lighting equipment
275,3,27,Manufacture of domestic appliances
2750,4,275,Manufacture of domestic appliances
279,3,27,Manufacture of other electrical equipment
2790,4,279,Manufacture of other electrical equipment
28,2,C,Manufacture of machinery and equipment n.e.c.
281,3,28,Manufacture of general-purpose machinery
2811,4,281,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
2812,4,281,Manufacture of fluid power equipment
2813,4,281,"Manufacture of other pumps, compressors, taps and valves"
2814,4,281,"Manufacture of bearings, gears, gearing and driving elements"
2815,4,281,"Manufacture of ovens, furnaces and furnace burners"
2816,4,281,Manufacture of lifting and handling equipment
2817,4,281,Manufacture of office machinery and equipment (except computers and peripheral equipment)
2818,4,281,Manufacture of power-driven hand tools
2819,4,281,Manufacture of other general-purpose machinery
282,3,28,Manufacture of special-purpose machinery
2821,4,282,Manufacture of agricultural and forestry machinery
2822,4,282,Manufacture of metal-forming machinery and machine tools
2823,4,282,Manufacture of machinery for metallurgy
2824,4,282,"Manufacture of machinery for mining, quarrying and construction"
2825,4,282,"Manufacture of machinery for food, beverage and tobacco processing"
2826,4,282,"Manufacture of machinery for textile, apparel and leather production"
2829,4,282,Manufacture of other special-purpose machinery
29,2,C,"Manufacture of motor vehicles, trailers and semi-trailers"
291,3,29,Manufacture of motor vehicles
2910,4,291,Manufacture of motor vehicles
292,3,29,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
2920,4,292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
293,3,29,Manufacture of parts and accessories for motor vehicles
2930,4,293,Manufacture of parts and accessories for motor vehicles
30,2,C,Manufacture of other transport equipment
301,3,30,Building of ships and boats
3011,4,301,Building of ships and floating structures
3012,4,301,Building of pleasure and sporting boats
302,3,30,Manufacture of railway locomotives and rolling stock
3020,4,302,Manufacture of railway locomotives and rolling stock
303,3,30,Manufacture of air and spacecraft and related machinery
3030,4,303,Manufacture of air and spacecraft and related machinery
304,3,30,Manufacture of military fighting vehicles
3040,4,304,Manufacture of military fighting vehicles
309,3,30,Manufacture of transport equipment n.e.c.
3091,4,309,Manufacture of motorcycles
3092,4,309,Manufacture of bicycles and invalid carriages
3099,4,309,Manufacture of other transport equipment n.e.c.
31,2,C,Manufacture of furniture
310,3,31,Manufacture of furniture
3100,4,310,Manufacture of furniture
32,2,C,Other manufacturing
321,3,32,"Manufacture of jewellery, bijouterie and related articles"
3211,4,321,Manufacture of jewellery and related articles
3212,4,321,Manufacture of imitation jewellery and related articles
322,3,32,Manufacture of musical instruments
3220,4,322,Manufacture of musical instruments
323,3,32,Manufacture of sports goods
3230,4,323,Manufacture of sports goods
324,3,32,Manufacture of games and toys
3240,4,324,Manufacture of games and toys
325,3,32,Manufacture of medical and dental instruments and supplies
3250,4,325,Manufacture of medical and dental instruments and supplies
329,3,32,Other manufacturing n.e.c.
3290,4,329,Other manufacturing n.e.c.
33,2,C,Repair and installation of machinery and equipment
331,3,33,"Repair of fabricated metal products, machinery and equipment"
3311,4,331,Repair of fabricated metal products
3312,4,331,Repair of machinery
3313,4,331,Repair of electronic and optical equipment
3314,4,331,Repair of electrical equipment
3315,4,331,"Repair of transport equipment, except motor vehicles"
3319,4,331,Repair of other equipment
332,3,33,Installation of industrial machinery and equipment
3320,4,332,Installation of industrial machinery and equipment
D,1,,"Electricity, gas, steam and air conditioning supply"
35,2,D,"Electricity, gas, steam and air conditioning supply"
351,3,35,"Electric power generation, transmission and distribution"
3510,4,351,"Electric power generation, transmission and distribution"
352,3,35,Manufacture of gas; distribution of gaseous fuels through mains
3520,4,352,Manufacture of gas; distribution of gaseous fuels through mains
353,3,35,Steam and air conditioning supply
3530,4,353,Steam and air conditioning supply
E,1,,"Water supply; sewerage, waste management and remediation activities"
36,2,E,"Water collection, treatment and supply"
360,3,36,"Water collection, treatment and supply"
3600,4,360,"Water collection, treatment and supply"
37,2,E,Sewerage
370,3,37,Sewerage
3700,4,370,Sewerage
38,2,E,"Waste collection, treatment and disposal activities; materials recovery"
381,3,38,Waste collection
3811,4,381,Collection of non-hazardous waste
3812,4,381,Collection of hazardous waste
382,3,38,Waste treatment and disposal
3821,4,382,Treatment and disposal of non-hazardous waste
3822,4,382,Treatment and disposal of hazardous waste
383,3,38,Materials recovery
3830,4,383,Materials recovery
39,2,E,Remediation activities and other waste management services
390,3,39,Remediation activities and other waste management services
3900,4,390,Remediation activities and other waste management services
F,1,,Construction
41,2,F,Construction of buildings
410,3,41,Construction of buildings
4100,4,410,Construction of buildings
42,2,F,Civil engineering
421,3,42,Construction of roads and railways
4210,4,421,Construction of roads and railways
422,3,42,Construction of utility projects
4220,4,422,Construction of utility projects
429,3,42,Construction of other civil engineering projects
4290,4,429,Construction of other civil engineering projects
43,2,F,Specialized construction activities
431,3,43,Demolition and site preparation
4311,4,431,Demolition
4312,4,431,Site preparation
432,3,43,"Electrical, plumbing and other construction installation activities"
4321,4,432,Electrical installation
4322,4,432,"Plumbing, heat and air-conditioning installation"
4329,4,432,Other construction installation
433,3,43,Building completion and finishing
4330,4,433,Building completion and finishing
439,3,43,Other specialized construction activities
4390,4,439,Other specialized construction activities
G,1,,Wholesale and retail trade; repair of motor vehicles and motorcycles
45,2,G,Wholesale and retail trade and repair of motor vehicles and motorcycles
451,3,45,Sale of motor vehicles
4510,4,451,Sale of motor vehicles
452,3,45,Maintenance and repair of motor vehicles
4520,4,452,Maintenance and repair of motor vehicles
453,3,45,Sale of motor vehicle parts and accessories
4530,4,453,Sale of motor vehicle parts and accessories
454,3,45,"Sale, maintenance and repair of motorcycles and related parts and accessories"
4540,4,454,"Sale, maintenance and repair of motorcycles and related parts and accessories"
46,2,G,"Wholesale trade, except of motor vehicles and motorcycles"
461,3,46,Wholesale on a fee or contract basis
4610,4,461,Wholesale on a fee or contract basis
462,3,46,Wholesale of agricultural raw materials and live animals
4620,4,462,Wholesale of agricultural raw materials and live animals
463,3,46,"Wholesale of food, beverages and tobacco"
4630,4,463,"Wholesale of food, beverages and tobacco"
464,3,46,Wholesale of household goods
4641,4,464,"Wholesale of textiles, clothing and footwear"
4649,4,464,Wholesale of other household goods
465,3,46,"Wholesale of machinery, equipment and supplies"
4651,4,465,"Wholesale of computers, computer peripheral equipment and software"
4652,4,465,Wholesale of electronic and telecommunications equipment and parts
4653,4,465,"Wholesale of agricultural machinery, equipment and supplies"
4659,4,465,Wholesale of other machinery and equipment
466,3,46,Other specialized wholesale
4661,4,466,"Wholesale of solid, liquid and gaseous fuels and related products"
4662,4,466,Wholesale of metals and metal ores
4663,4,466,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
4669,4,466,Wholesale of waste and scrap and other products n.e.c.
469,3,46,Non-specialized wholesale trade
4690,4,469,Non-specialized wholesale trade
47,2,G,"Retail trade, except of motor vehicles and motorcycles"
471,3,47,Retail sale in non-specialized stores
4711,4,471,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
4719,4,471,Other retail sale in non-specialized stores
472,3,47,"Retail sale of food, beverages and tobacco in specialized stores"
4721,4,472,Retail sale of food in specialized stores
4722,4,472,Retail sale of beverages in specialized stores
4723,4,472,Retail sale of tobacco products in specialized stores
473,3,47,Retail sale of automotive fuel in specialized stores
4730,4,473,Retail sale of automotive fuel in specialized stores
474,3,47,Retail sale of information and communications equipment in specialized stores
4741,4,474,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
4742,4,474,Retail sale of audio and video equipment in specialized stores
475,3,47,Retail sale of other household equipment in specialized stores
4751,4,475,Retail sale of textiles in specialized stores
4752,4,475,"Retail sale of hardware, paints and glass in specialized stores"
4753,4,475,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores"
4759,4,475,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
476,3,47,Retail sale of cultural and recreation goods in specialized stores
4761,4,476,"Retail sale of books, newspapers and stationary in specialized stores"
4762,4,476,Retail sale of music and video recordings in specialized stores
4763,4,476,Retail sale of sporting equipment in specialized stores
4764,4,476,Retail sale of games and toys in specialized stores
477,3,47,Retail sale of other goods in specialized stores
4771,4,477,"Retail sale of clothing, footwear and leather articles in specialized stores"
4772,4,477,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
4773,4,477,Other retail sale of new goods in specialized stores
4774,4,477,Retail sale of second-hand goods
478,3,47,Retail sale via stalls and markets
4781,4,478,"Retail sale via stalls and markets of food, beverages and tobacco products"
4782,4,478,"Retail sale via stalls and markets of textiles, clothing and footwear"
4789,4,478,Retail sale via stalls and markets of other goods
479,3,47,"Retail trade not in stores, stalls or markets"
4791,4,479,Retail sale via mail order houses or via Internet
4799,4,479,"Other retail sale not in stores, stalls or markets"
H,1,,Transportation and storage
49,2,H,Land transport and transport via pipelines
491,3,49,Transport via railways
4911,4,491,"Passenger rail transport, interurban"
4912,4,491,Freight rail transport
492,3,49,Other land transport
4921,4,492,Urban and suburban passenger land transport
4922,4,492,Other passenger land transport
4923,4,492,Freight transport by road
493,3,49,Transport via pipeline
4930,4,493,Transport via pipeline
50,2,H,Water transport
501,3,50,Sea and coastal water transport
5011,4,501,Sea and coastal passenger water transport
5012,4,501,Sea and coastal freight water transport
502,3,50,Inland water transport
5021,4,502,Inland passenger water transport
5022,4,502,Inland freight water transport
51,2,H,Air transport
