Code,Level,Description,ISIC code
01111,5,Growing of leafy and fruit vegetables,113
01112,5,Growing of mushrooms,113
01113,5,Growing of root crops,113
01119,5,Growing of food crops (non-hydroponics) n.e.c.,111
01119,5,Growing of food crops (non-hydroponics) n.e.c.,112
01120,5,Growing of leafy and fruit vegetables (hydroponics),113
01130,5,Growing of fruits,121
01130,5,Growing of fruits,122
01130,5,Growing of fruits,123
01130,5,Growing of fruits,124
01130,5,Growing of fruits,125
01141,5,Growing of orchids,130
01142,5,Growing of ornamental plants,130
01149,5,Growing of nursery products n.e.c.,130
01190,5,Growing of other crops,114
01190,5,Growing of other crops,115
01190,5,Growing of other crops,116
01190,5,Growing of other crops,119
01190,5,Growing of other crops,126
01190,5,Growing of other crops,127
01190,5,Growing of other crops,128
01190,5,Growing of other crops,129
01411,5,Pig farms,145
01412,5,Cattle farms (including dairy cattle),141
01413,5,Goat farms (including goat's milk production),144
01421,5,Poultry breeding/hatcheries,146
01422,5,Broiler farms (chickens reared for meat),146
01423,5,Layer farms (chickens reared for eggs),146
01424,5,Duck farms,146
01491,5,Dog breeding,149
01492,5,Bird breeding,149
01493,5,Crocodile farms,321
01494,5,Frog farms,322
01499,5,Other animal production n.e.c.,142
01499,5,Other animal production n.e.c.,143
01499,5,Other animal production n.e.c.,149
01500,5,Growing of crops combined with animal production (mixed farming),150
01600,5,Agricultural and animal husbandry service activities except veterinary activities,161
01600,5,Agricultural and animal husbandry service activities except veterinary activities,162
01600,5,Agricultural and animal husbandry service activities except veterinary activities,163
01600,5,Agricultural and animal husbandry service activities except veterinary activities,164
02000,5,"Forestry, logging and related service activities",210
02000,5,"Forestry, logging and related service activities",220
02000,5,"Forestry, logging and related service activities",230
02000,5,"Forestry, logging and related service activities",240
03101,5,Fishing in kelongs,311
03101,5,Fishing in kelongs,312
03102,5,Ocean fishing except fishing in kelongs,311
03103,5,Coastal fishing except fishing in kelongs,311
03103,5,Coastal fishing except fishing in kelongs,312
03109,5,Fishing n.e.c.,311
03109,5,Fishing n.e.c.,312
03201,5,Food fish farms,321
03201,5,Food fish farms,322
03202,5,Ornamental fish farms,321
03202,5,Ornamental fish farms,322
03209,5,"Operation of fish hatcheries and fish farms n.e.c. (including turtle, prawn, crab, mussel farms)",321
03209,5,"Operation of fish hatcheries and fish farms n.e.c. (including turtle, prawn, crab, mussel farms)",322
08101,5,Stone quarrying,810
08102,5,Quarrying of sand and clay,810
08900,5,Other mining and quarrying,510
08900,5,Other mining and quarrying,520
08900,5,Other mining and quarrying,710
08900,5,Other mining and quarrying,721
08900,5,Other mining and quarrying,729
08900,5,Other mining and quarrying,891
08900,5,Other mining and quarrying,892
08900,5,Other mining and quarrying,893
08900,5,Other mining and quarrying,899
09001,5,Crude petroleum and natural gas production,610
09001,5,Crude petroleum and natural gas production,620
09002,5,"Service activities incidental to oil and gas extraction (excluding surveying and engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities)",910
09002,5,"Service activities incidental to oil and gas extraction (excluding surveying and engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities)",990
10101,5,Slaughtering of livestock and poultry,1010
10102,5,Manufacture of sausage,1010
10103,5,"Preparing, canning and preserving of livestock and livestock products (including lard and other edible animal fats)",1010
10104,5,"Preparing, canning and preserving of poultry and poultry products",1010
10109,5,Processing and preserving of meat and meat products n.e.c.,1010
10200,5,Processing and preserving of seafood,1020
10301,5,Manufacture of jams (including fruit jelly),1030
10302,5,Other canning and preserving of fruits and fruit juices,1030
10303,5,Other canning and preserving of vegetables and vegetable juices (including pickles),1030
10401,5,Manufacture of edible vegetable and animal oils and fats,1040
10402,5,Manufacture of inedible vegetable and animal oils and fats,1040
10409,5,Manufacture of vegetable and animal oils and fats n.e.c.,1040
10501,5,Manufacture of condensed and evaporated milk (including pasteurising and bottling of fluid milk),1050
10502,5,Manufacture of milk powder,1050
10503,5,Manufacture of ice-cream,1050
10509,5,"Manufacture of dairy products n.e.c. (e.g. butter, cheese, ice-cream mixes and powder, yoghurt)",1050
10611,5,Rice milling,1061
10612,5,Wheat milling,1061
10613,5,Provision of milling services,1061
10619,5,Manufacture of grain mill products n.e.c.,1061
10620,5,Manufacture of starches and starch products,1062
10711,5,Manufacture of biscuits (including wafers and cones),1071
10712,5,"Manufacture of bread, cakes and confectionery (excluding frozen bakery products)",1071
10719,5,Manufacture of bakery products n.e.c.,1071
10720,5,Manufacture of sugar and sugar products,1072
10731,5,Manufacture of cocoa and chocolate powder from beans,1073
10732,5,Manufacture of chocolate and chocolate products,1073
10733,5,"Manufacture of non-chocolate confectionery (e.g. sweets, toffees, crystallised fruits, chewing gums)",1073
10740,5,"Manufacture of macaroni, noodles, vermicelli and other related products",1074
10750,5,Manufacture of cooked-food preparations (e.g. frozen dinners),1075
10761,5,Manufacture of instant beverages,1079
10762,5,Processing of coffee seeds,1079
10763,5,Manufacture of coffee powder,1079
10764,5,Manufacture of tea (including processing of tea leaves),1079
10765,5,Manufacture of non-dairy creamer,1079
10791,5,"Manufacture of sauces including soya bean sauce (e.g. tomato sauce, chilli sauce)",1079
10792,5,Manufacture of soya bean products except soya bean sauce and soya bean milk,1079
10793,5,Manufacture and processing of spices (including curry powder and spice extracts),1079
10794,5,"Manufacture of chips, crackers and other titbits (excluding biscuits and confectionery)",1079
10799,5,Manufacture of other food products n.e.c. (except food chemicals and additives),1079
10800,5,Manufacture of prepared animal feeds (including additives for animal feed),1080
11010,5,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials (including samsu and Chinese liquors)",1101
11020,5,Manufacture of wines,1102
11030,5,Manufacture of malt liquors and malt (e.g. beer and stout),1103
11041,5,"Manufacture of soft drinks, production of mineral waters (including carbonated waters, soya bean milk, barley water, chrysanthemum water)",1104
11042,5,"Manufacture of cordials, syrups and composite concentrates for beverages",1104
11043,5,Manufacture of ice except dry ice,1104
12001,5,Manufacture of cigarettes,1200
12009,5,"Manufacture of tobacco products n.e.c. (e.g. cigars, loose tobacco)",1200
13100,5,"Spinning, weaving and finishing of textiles",1311
13100,5,"Spinning, weaving and finishing of textiles",1312
13100,5,"Spinning, weaving and finishing of textiles",1313
13910,5,Manufacture of knitted and crocheted fabrics and laces,1391
13921,5,"Manufacture of curtains, pillow cases, bed sheets and bed spreads",1392
13922,5,"Manufacture of other made-up house furnishings (e.g. napkins, table cloths)",1392
