Code,Level,Parent,Description,Definition,Examples
A,1,,AGRICULTURE AND FISHING,,
01,2,A,AGRICULTURE AND RELATED SERVICE ACTIVITIES,,
011,3,01,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",,
0111,4,011,Growing of Food Crops (Non-Hydroponics),,
01111,5,0111,Growing of leafy and fruit vegetables,This sub-class includes the cultivation of leafy or fruit vegetables by propagating in solid media (e.g. traditional or synthetic soil).,
01112,5,0111,Growing of mushrooms,This sub-class includes the cultivation of mushrooms by propagating in solid media (e.g. traditional or synthetic soil).,
01113,5,0111,Growing of root crops,This sub-class includes the cultivation of root crops by propagating in solid media (e.g. traditional or synthetic soil).,
01119,5,0111,Growing of food crops (non-hydroponics) n.e.c.,This sub-class includes the propagation of food crops in solid media (e.g. traditional or synthetic soil) that are not elsewhere classified.,"•cereals growing (non-hydroponics)
•rice growing (non-hydroponics)
•bulb vegetable growing (non-hydroponics)"
0112,4,011,Growing of Food Crops (Hydroponics),,
01120,5,0112,Growing of leafy and fruit vegetables (hydroponics),This sub-class includes the cultivation of leafy or fruit vegetables by placing the roots in liquid media.,
0113,4,011,Growing of Fruits,,
01130,5,0113,Growing of fruits,"This Sub-class includes growing of fruits such as banana, papaya, mangoes, dates or pineapples.",
0114,4,011,Growing of Nursery Products,,
01141,5,0114,Growing of orchids,This Sub-class includes growing of orchids.,
01142,5,0114,Growing of ornamental plants,This Sub-class includes growing of ornamental plants.,
01149,5,0114,Growing of nursery products n.e.c.,This Sub-class includes growing of nursery products not elsewhere classified.,"•aquarium plant growing
•tissue culture plantlet"
0119,4,011,Growing of Other Crops,,
01190,5,0119,Growing of other crops,"This Sub-class includes the growing of other crops such as coconuts, oil palm, tobacco or rubber.",
014,3,01,ANIMAL PRODUCTION,,
0141,4,014,Livestock Production (except Poultry and Animal Specialties),,
01411,5,0141,Pig farms,This Sub-class includes rearing of pigs.,
01412,5,0141,Cattle farms (including dairy cattle),"This Sub-class includes:
•rearing of cattle
•production of raw cow milk from cows",
01413,5,0141,Goat farms (including goat's milk production),"This Sub-class includes: 
•rearing of sheep or goat
•production of milk from sheep or goat.",
0142,4,014,Poultry Farms and Hatcheries,,
01421,5,0142,Poultry breeding/hatcheries,"This Sub-class includes farms and hatcheries that are primarily engaged in rearing of poultry such as chickens, ducks and geese.",
01422,5,0142,Broiler farms (chickens reared for meat),This Sub-class includes the rearing of chickens for meat.,
01423,5,0142,Layer farms (chickens reared for eggs),"This Sub-class includes:
•rearing of chickens for eggs
•production of eggs from chickens",
01424,5,0142,Duck farms,This Sub-class includes rearing of ducks for meat or eggs.,
0149,4,014,Other Animal Production,,
01491,5,0149,Dog breeding,This Sub-class includes raising and breeding of dogs.,
01492,5,0149,Bird breeding,This Sub-class includes raising and breeding of birds.,
01493,5,0149,Crocodile farms,This Sub-class includes farms that raise and breed crocodiles.,
01494,5,0149,Frog farms,This Sub-class includes farms that raise and breed frogs.,
01499,5,0149,Other animal production n.e.c.,This Sub-class includes raising and breeding of animals not elsewhere classified.,"•insect breeding
•rabbit breeding
•hamster breeding
•apiary (bee-keeping), including production of honey and beeswax"
