Code,Level,Parent,Description
A,1,,"Agriculture, forestry and fishing"
01,2,A,"Crop and animal production, hunting and related service activities"
01.1,3,01,Growing of non-perennial crops
01.11,4,01.1,"Growing of cereals (except rice), leguminous crops and oil seeds"
01.11.0,5,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds"
01.12,4,01.1,Growing of rice
01.12.0,5,01.12,Growing of rice
01.13,4,01.1,"Growing of vegetables and melons, roots and tubers"
01.13.1,5,01.13,Growing of vegetables and melons
01.13.2,5,01.13,Growing of potatoes and other roots and tubers
01.14,4,01.1,Growing of sugar cane
01.14.0,5,01.14,Growing of sugar cane
01.15,4,01.1,Growing of tobacco
01.15.0,5,01.15,Growing of tobacco
01.16,4,01.1,Growing of fibre crops
01.16.0,5,01.16,Growing of fibre crops
01.19,4,01.1,Growing of other non-perennial crops
01.19.1,5,01.19,Growing of ornamental plants for cutting
01.19.2,5,01.19,Growing of flower seeds
01.19.9,5,01.19,Growing of other non-perennial crops n.e.c.
01.2,3,01,Growing of perennial crops
01.21,4,01.2,Growing of grapes
01.21.0,5,01.21,Growing of grapes
01.22,4,01.2,Growing of tropical and subtropical fruits
01.22.0,5,01.22,Growing of tropical and subtropical fruits
01.23,4,01.2,Growing of citrus fruits
01.23.0,5,01.23,Growing of citrus fruits
01.24,4,01.2,Growing of pome fruits and stone fruits
01.24.0,5,01.24,Growing of pome fruits and stone fruits
01.25,4,01.2,Growing of other tree and bush fruits and nuts
01.25.1,5,01.25,Growing of strawberries
01.25.9,5,01.25,Growing of other tree and bush fruits (except strawberries) and nuts
01.26,4,01.2,Growing of oleaginous fruits
01.26.0,5,01.26,Growing of oleaginous fruits
01.27,4,01.2,Growing of beverage crops
01.27.0,5,01.27,Growing of beverage crops
01.28,4,01.2,"Growing of spices, aromatic, drug and pharmaceutical crops"
01.28.0,5,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops"
01.29,4,01.2,Growing of other perennial crops
01.29.0,5,01.29,Growing of other perennial crops
01.3,3,01,Plant propagation
01.30,4,01.3,Plant propagation
01.30.1,5,01.30,Growing of indoor and outdoor plants
01.30.2,5,01.30,Operation of tree nurseries
01.4,3,01,Animal production
01.41,4,01.4,Raising of dairy cattle
01.41.0,5,01.41,Raising of dairy cattle
01.42,4,01.4,Raising of other cattle and buffaloes
01.42.0,5,01.42,Raising of other cattle and buffaloes
01.43,4,01.4,Raising of horses and other equines
01.43.0,5,01.43,Raising of horses and other equines
01.44,4,01.4,Raising of camels and camelids
01.44.0,5,01.44,Raising of camels and camelids
01.45,4,01.4,Raising of sheep and goats
01.45.0,5,01.45,Raising of sheep and goats
01.46,4,01.4,Raising of swine/pigs
01.46.0,5,01.46,Raising of swine/pigs
01.47,4,01.4,Raising of poultry
01.47.1,5,01.47,Raising of layers to produce eggs for consumption
01.47.2,5,01.47,Operation of poultry hatcheries
01.47.9,5,01.47,Raising of other productive poultry
01.49,4,01.4,Raising of other animals
01.49.0,5,01.49,Raising of other animals
01.5,3,01,Mixed farming
01.50,4,01.5,Mixed farming
01.50.0,5,01.50,Mixed farming
01.6,3,01,Support activities to agriculture and post-harvest crop activities
01.61,4,01.6,Support activities for crop production
01.61.0,5,01.61,Support activities for crop production
01.62,4,01.6,Support activities for animal production
01.62.0,5,01.62,Support activities for animal production
01.63,4,01.6,Post-harvest crop activities
01.63.0,5,01.63,Post-harvest crop activities
01.64,4,01.6,Seed processing for propagation
01.64.0,5,01.64,Seed processing for propagation
01.7,3,01,"Hunting, trapping and related service activities"
01.70,4,01.7,"Hunting, trapping and related service activities"
01.70.0,5,01.70,"Hunting, trapping and related service activities"
02,2,A,Forestry and logging
02.1,3,02,Silviculture and other forestry activities
02.10,4,02.1,Silviculture and other forestry activities
02.10.0,5,02.10,Silviculture and other forestry activities
02.2,3,02,Logging
02.20,4,02.2,Logging
02.20.0,5,02.20,Logging
02.3,3,02,Gathering of wild growing non-wood products
02.30,4,02.3,Gathering of wild growing non-wood products
02.30.0,5,02.30,Gathering of wild growing non-wood products
02.4,3,02,Support services to forestry
02.40,4,02.4,Support services to forestry
02.40.0,5,02.40,Support services to forestry
03,2,A,Fishing and aquaculture
03.1,3,03,Fishing
03.11,4,03.1,Marine fishing
03.11.0,5,03.11,Marine fishing
03.12,4,03.1,Freshwater fishing
03.12.0,5,03.12,Freshwater fishing
03.2,3,03,Aquaculture
03.21,4,03.2,Marine aquaculture
03.21.0,5,03.21,Marine aquaculture
03.22,4,03.2,Freshwater aquaculture
03.22.0,5,03.22,Freshwater aquaculture
B,1,,Mining and quarrying
05,2,B,Mining of coal and lignite
05.1,3,05,Mining of hard coal
05.10,4,05.1,Mining of hard coal
05.10.0,5,05.10,Mining of hard coal
05.2,3,05,Mining of lignite
05.20,4,05.2,Mining of lignite
05.20.0,5,05.20,Mining of lignite
06,2,B,Extraction of crude petroleum and natural gas
06.1,3,06,Extraction of crude petroleum
06.10,4,06.1,Extraction of crude petroleum
06.10.0,5,06.10,Extraction of crude petroleum
06.2,3,06,Extraction of natural gas
06.20,4,06.2,Extraction of natural gas
06.20.0,5,06.20,Extraction of natural gas
07,2,B,Mining of metal ores
07.1,3,07,Mining of iron ores
07.10,4,07.1,Mining of iron ores
07.10.0,5,07.10,Mining of iron ores
07.2,3,07,Mining of non-ferrous metal ores
07.21,4,07.2,Mining of uranium and thorium ores
07.21.0,5,07.21,Mining of uranium and thorium ores
07.29,4,07.2,Mining of other non-ferrous metal ores
07.29.0,5,07.29,Mining of other non-ferrous metal ores
08,2,B,Other mining and quarrying
08.1,3,08,"Quarrying of stone, sand and clay"
08.11,4,08.1,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
08.11.0,5,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
08.12,4,08.1,Operation of gravel and sand pits; mining of clays and kaolin
08.12.0,5,08.12,Operation of gravel and sand pits; mining of clays and kaolin
08.9,3,08,Mining and quarrying n.e.c.
08.91,4,08.9,Mining of chemical and fertiliser minerals
08.91.0,5,08.91,Mining of chemical and fertiliser minerals
08.92,4,08.9,Extraction of peat
08.92.0,5,08.92,Extraction of peat
08.93,4,08.9,Extraction of salt
08.93.0,5,08.93,Extraction of salt
08.99,4,08.9,Other mining and quarrying n.e.c.
08.99.0,5,08.99,Other mining and quarrying n.e.c.
09,2,B,Mining support service activities
09.1,3,09,Support activities for petroleum and natural gas extraction
09.10,4,09.1,Support activities for petroleum and natural gas extraction
09.10.0,5,09.10,Support activities for petroleum and natural gas extraction
09.9,3,09,Support activities for other mining and quarrying
09.90,4,09.9,Support activities for other mining and quarrying
09.90.0,5,09.90,Support activities for other mining and quarrying
C,1,,Manufacturing
10,2,C,Manufacture of food products
10.1,3,10,Processing and preserving of meat and production of meat products
10.11,4,10.1,Processing and preserving of meat
10.11.0,5,10.11,Processing and preserving of meat
10.12,4,10.1,Processing and preserving of poultry meat
10.12.0,5,10.12,Processing and preserving of poultry meat
10.13,4,10.1,Production of meat and poultry meat products
10.13.0,5,10.13,Production of meat and poultry meat products
10.2,3,10,"Processing and preserving of fish, crustaceans and molluscs"
10.20,4,10.2,"Processing and preserving of fish, crustaceans and molluscs"
10.20.0,5,10.20,"Processing and preserving of fish, crustaceans and molluscs"
10.3,3,10,Processing and preserving of fruit and vegetables
10.31,4,10.3,Processing and preserving of potatoes
10.31.0,5,10.31,Processing and preserving of potatoes
10.32,4,10.3,Manufacture of fruit and vegetable juice
10.32.0,5,10.32,Manufacture of fruit and vegetable juice
10.39,4,10.3,Other processing and preserving of fruit and vegetables
10.39.0,5,10.39,Other processing and preserving of fruit and vegetables
10.4,3,10,Manufacture of vegetable and animal oils and fats
10.41,4,10.4,Manufacture of oils and fats
10.41.0,5,10.41,Manufacture of oils and fats
10.42,4,10.4,Manufacture of margarine and similar edible fats
10.42.0,5,10.42,Manufacture of margarine and similar edible fats
10.5,3,10,Manufacture of dairy products
10.51,4,10.5,Operation of dairies and cheese making
10.51.0,5,10.51,Operation of dairies and cheese making
10.52,4,10.5,Manufacture of ice cream
10.52.0,5,10.52,Manufacture of ice cream
10.6,3,10,"Manufacture of grain mill products, starches and starch products"
10.61,4,10.6,Manufacture of grain mill products
10.61.0,5,10.61,Manufacture of grain mill products
10.62,4,10.6,Manufacture of starches and starch products
10.62.0,5,10.62,Manufacture of starches and starch products
10.7,3,10,Manufacture of bakery and farinaceous products
10.71,4,10.7,Manufacture of bread; manufacture of fresh pastry goods and cakes
10.71.0,5,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes
10.72,4,10.7,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
10.72.0,5,10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
10.73,4,10.7,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
10.73.0,5,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
10.8,3,10,Manufacture of other food products
10.81,4,10.8,Manufacture of sugar
10.81.0,5,10.81,Manufacture of sugar
10.82,4,10.8,"Manufacture of cocoa, chocolate and sugar confectionery"
10.82.0,5,10.82,"Manufacture of cocoa, chocolate and sugar confectionery"
10.83,4,10.8,Processing of tea and coffee
10.83.0,5,10.83,Processing of tea and coffee
10.84,4,10.8,Manufacture of condiments and seasonings
10.84.0,5,10.84,Manufacture of condiments and seasonings
10.85,4,10.8,Manufacture of prepared meals and dishes
10.85.0,5,10.85,Manufacture of prepared meals and dishes
10.86,4,10.8,Manufacture of homogenised food preparations and dietetic food
10.86.0,5,10.86,Manufacture of homogenised food preparations and dietetic food
10.89,4,10.8,Manufacture of other food products n.e.c.
10.89.0,5,10.89,Manufacture of other food products n.e.c.
10.9,3,10,Manufacture of prepared animal feeds
10.91,4,10.9,Manufacture of prepared feeds for farm animals
10.91.0,5,10.91,Manufacture of prepared feeds for farm animals
10.92,4,10.9,Manufacture of prepared pet foods
10.92.0,5,10.92,Manufacture of prepared pet foods
11,2,C,Manufacture of beverages
11.0,3,11,Manufacture of beverages
11.01,4,11.0,"Distilling, rectifying and blending of spirits"
11.01.0,5,11.01,"Distilling, rectifying and blending of spirits"
11.02,4,11.0,Manufacture of wine from grape
11.02.0,5,11.02,Manufacture of wine from grape
11.03,4,11.0,Manufacture of cider and other fruit wines
11.03.0,5,11.03,Manufacture of cider and other fruit wines
11.04,4,11.0,Manufacture of other non-distilled fermented beverages
11.04.0,5,11.04,Manufacture of other non-distilled fermented beverages
11.05,4,11.0,Manufacture of beer
11.05.0,5,11.05,Manufacture of beer
11.06,4,11.0,Manufacture of malt
11.06.0,5,11.06,Manufacture of malt
11.07,4,11.0,Manufacture of soft drinks; production of mineral waters and other bottled waters
11.07.0,5,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters
12,2,C,Manufacture of tobacco products
12.0,3,12,Manufacture of tobacco products
12.00,4,12.0,Manufacture of tobacco products
12.00.0,5,12.00,Manufacture of tobacco products
13,2,C,Manufacture of textiles
13.1,3,13,Preparation and spinning of textile fibres
13.10,4,13.1,Preparation and spinning of textile fibres
13.10.0,5,13.10,Preparation and spinning of textile fibres
13.2,3,13,Weaving of textiles
13.20,4,13.2,Weaving of textiles
13.20.0,5,13.20,Weaving of textiles
13.3,3,13,Finishing of textiles
13.30,4,13.3,Finishing of textiles
13.30.0,5,13.30,Finishing of textiles
13.9,3,13,Manufacture of other textiles
13.91,4,13.9,Manufacture of knitted and crocheted fabrics
13.91.0,5,13.91,Manufacture of knitted and crocheted fabrics
13.92,4,13.9,"Manufacture of made-up textile articles, except apparel"
13.92.0,5,13.92,"Manufacture of made-up textile articles, except apparel"
13.93,4,13.9,Manufacture of carpets and rugs
13.93.0,5,13.93,Manufacture of carpets and rugs
13.94,4,13.9,"Manufacture of cordage, rope, twine and netting"
13.94.0,5,13.94,"Manufacture of cordage, rope, twine and netting"
13.95,4,13.9,"Manufacture of non-wovens and articles made from non-wovens, except apparel"
13.95.0,5,13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel"
13.96,4,13.9,Manufacture of other technical and industrial textiles
13.96.0,5,13.96,Manufacture of other technical and industrial textiles
13.99,4,13.9,Manufacture of other textiles n.e.c.
13.99.0,5,13.99,Manufacture of other textiles n.e.c.
14,2,C,Manufacture of wearing apparel
14.1,3,14,"Manufacture of wearing apparel, except fur apparel"
14.11,4,14.1,Manufacture of leather clothes
14.11.0,5,14.11,Manufacture of leather clothes
14.12,4,14.1,Manufacture of workwear
14.12.0,5,14.12,Manufacture of workwear
14.13,4,14.1,Manufacture of other outerwear
14.13.1,5,14.13,Manufacture of other outerwear made of woven fabrics for men and boys
14.13.2,5,14.13,Manufacture of other outerwear made of woven fabrics for women and girls
14.13.3,5,14.13,Manufacture of other outerwear made of knitted and crocheted fabrics
14.14,4,14.1,Manufacture of underwear
14.14.1,5,14.14,"Manufacture of underwear made of woven fabrics, except corsetry"
14.14.2,5,14.14,"Manufacture of underwear made of knitted and crocheted fabrics, except corsetry"
14.14.3,5,14.14,"Manufacture of corsetry made of woven, knitted or crocheted fabrics or lace"
14.19,4,14.1,Manufacture of other wearing apparel and accessories
14.19.0,5,14.19,Manufacture of other wearing apparel and accessories
14.2,3,14,Manufacture of articles of fur
14.20,4,14.2,Manufacture of articles of fur
14.20.0,5,14.20,Manufacture of articles of fur
14.3,3,14,Manufacture of knitted and crocheted apparel
14.31,4,14.3,Manufacture of knitted and crocheted hosiery
14.31.0,5,14.31,Manufacture of knitted and crocheted hosiery
14.39,4,14.3,Manufacture of other knitted and crocheted apparel
14.39.0,5,14.39,Manufacture of other knitted and crocheted apparel
15,2,C,Manufacture of leather and related products
15.1,3,15,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
15.11,4,15.1,Tanning and dressing of leather; dressing and dyeing of fur
15.11.0,5,15.11,Tanning and dressing of leather; dressing and dyeing of fur
15.12,4,15.1,"Manufacture of luggage, handbags and the like, saddlery and harness"
15.12.0,5,15.12,"Manufacture of luggage, handbags and the like, saddlery and harness"
15.2,3,15,Manufacture of footwear
15.20,4,15.2,Manufacture of footwear
15.20.0,5,15.20,Manufacture of footwear
16,2,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
16.1,3,16,Sawmilling and planing of wood
16.10,4,16.1,Sawmilling and planing of wood
16.10.0,5,16.10,Sawmilling and planing of wood
16.2,3,16,"Manufacture of products of wood, cork, straw and plaiting materials"
16.21,4,16.2,Manufacture of veneer sheets and wood-based panels
16.21.0,5,16.21,Manufacture of veneer sheets and wood-based panels
16.22,4,16.2,Manufacture of assembled parquet floors
16.22.0,5,16.22,Manufacture of assembled parquet floors
16.23,4,16.2,Manufacture of other builders' carpentry and joinery
16.23.0,5,16.23,Manufacture of other builders' carpentry and joinery
16.24,4,16.2,Manufacture of wooden containers
16.24.0,5,16.24,Manufacture of wooden containers
16.29,4,16.2,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
16.29.0,5,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
17,2,C,Manufacture of paper and paper products
17.1,3,17,"Manufacture of pulp, paper and paperboard"
17.11,4,17.1,Manufacture of pulp
17.11.0,5,17.11,Manufacture of pulp
17.12,4,17.1,Manufacture of paper and paperboard
17.12.0,5,17.12,Manufacture of paper and paperboard
17.2,3,17,Manufacture of articles of paper and paperboard
17.21,4,17.2,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
17.21.0,5,17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
17.22,4,17.2,Manufacture of household and sanitary goods and of toilet requisites
17.22.0,5,17.22,Manufacture of household and sanitary goods and of toilet requisites
17.23,4,17.2,Manufacture of paper stationery
17.23.0,5,17.23,Manufacture of paper stationery
17.24,4,17.2,Manufacture of wallpaper
17.24.0,5,17.24,Manufacture of wallpaper
17.29,4,17.2,Manufacture of other articles of paper and paperboard
17.29.0,5,17.29,Manufacture of other articles of paper and paperboard
18,2,C,Printing and reproduction of recorded media
18.1,3,18,Printing and service activities related to printing
18.11,4,18.1,Printing of newspapers
18.11.0,5,18.11,Printing of newspapers
18.12,4,18.1,Other printing
18.12.0,5,18.12,Other printing
18.13,4,18.1,Pre-press and pre-media services
18.13.0,5,18.13,Pre-press and pre-media services
18.14,4,18.1,Binding and related services
18.14.0,5,18.14,Binding and related services
18.2,3,18,Reproduction of recorded media
18.20,4,18.2,Reproduction of recorded media
18.20.0,5,18.20,Reproduction of recorded media
19,2,C,Manufacture of coke and refined petroleum products
19.1,3,19,Manufacture of coke oven products
19.10,4,19.1,Manufacture of coke oven products
19.10.0,5,19.10,Manufacture of coke oven products
19.2,3,19,Manufacture of refined petroleum products
19.20,4,19.2,Manufacture of refined petroleum products
19.20.0,5,19.20,Manufacture of refined petroleum products
20,2,C,Manufacture of chemicals and chemical products
20.1,3,20,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
20.11,4,20.1,Manufacture of industrial gases
20.11.0,5,20.11,Manufacture of industrial gases
20.12,4,20.1,Manufacture of dyes and pigments
20.12.0,5,20.12,Manufacture of dyes and pigments
20.13,4,20.1,Manufacture of other inorganic basic chemicals
20.13.0,5,20.13,Manufacture of other inorganic basic chemicals
20.14,4,20.1,Manufacture of other organic basic chemicals
20.14.0,5,20.14,Manufacture of other organic basic chemicals
20.15,4,20.1,Manufacture of fertilisers and nitrogen compounds
20.15.0,5,20.15,Manufacture of fertilisers and nitrogen compounds
20.16,4,20.1,Manufacture of plastics in primary forms
20.16.0,5,20.16,Manufacture of plastics in primary forms
20.17,4,20.1,Manufacture of synthetic rubber in primary forms
20.17.0,5,20.17,Manufacture of synthetic rubber in primary forms
20.2,3,20,Manufacture of pesticides and other agrochemical products
20.20,4,20.2,Manufacture of pesticides and other agrochemical products
20.20.0,5,20.20,Manufacture of pesticides and other agrochemical products
20.3,3,20,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
20.30,4,20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
20.30.0,5,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
20.4,3,20,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
20.41,4,20.4,"Manufacture of soap and detergents, cleaning and polishing preparations"
20.41.0,5,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations"
20.42,4,20.4,Manufacture of perfumes and toilet preparations
20.42.0,5,20.42,Manufacture of perfumes and toilet preparations
20.5,3,20,Manufacture of other chemical products
20.51,4,20.5,Manufacture of explosives
20.51.0,5,20.51,Manufacture of explosives
20.52,4,20.5,Manufacture of glues
20.52.0,5,20.52,Manufacture of glues
20.53,4,20.5,Manufacture of essential oils
20.53.0,5,20.53,Manufacture of essential oils
20.59,4,20.5,Manufacture of other chemical products n.e.c.
20.59.0,5,20.59,Manufacture of other chemical products n.e.c.
20.6,3,20,Manufacture of man-made fibres
20.60,4,20.6,Manufacture of man-made fibres
20.60.0,5,20.60,Manufacture of man-made fibres
21,2,C,Manufacture of basic pharmaceutical products and pharmaceutical preparations
21.1,3,21,Manufacture of basic pharmaceutical products
21.10,4,21.1,Manufacture of basic pharmaceutical products
21.10.0,5,21.10,Manufacture of basic pharmaceutical products
21.2,3,21,Manufacture of pharmaceutical preparations
21.20,4,21.2,Manufacture of pharmaceutical preparations
21.20.0,5,21.20,Manufacture of pharmaceutical preparations
22,2,C,Manufacture of rubber and plastic products
22.1,3,22,Manufacture of rubber products
22.11,4,22.1,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
22.11.0,5,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
22.19,4,22.1,Manufacture of other rubber products
22.19.0,5,22.19,Manufacture of other rubber products
22.2,3,22,Manufacture of plastics products
22.21,4,22.2,"Manufacture of plastic plates, sheets, tubes and profiles"
22.21.0,5,22.21,"Manufacture of plastic plates, sheets, tubes and profiles"
22.22,4,22.2,Manufacture of plastic packing goods
22.22.0,5,22.22,Manufacture of plastic packing goods
22.23,4,22.2,Manufacture of builders’ ware of plastic
22.23.0,5,22.23,Manufacture of builders’ ware of plastic
